region,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplaces,Residential,country,date,countryName
Miyazaki,-0.07,0.07,0.04,-0.15,0.02,0.03,JP,2020-03-29,Japan
Nagano,-0.31,-0.11,-0.56,-0.44,-0.04,0.08,JP,2020-03-29,Japan
Nagasaki,-0.03,0.08,0.3,-0.12,0.03,0.02,JP,2020-03-29,Japan
Nara,-0.07,0.11,0.1,-0.27,-0.05,0.04,JP,2020-03-29,Japan
Niigata,-0.11,0.03,-0.22,-0.35,-0.03,0.05,JP,2020-03-29,Japan
Oita,-0.08,0.05,0.22,-0.17,-0.01,0.03,JP,2020-03-29,Japan
Okayama,-0.07,0.07,0.17,-0.18,0.0,0.03,JP,2020-03-29,Japan
Okinawa,-0.09,0.0,-0.14,-0.27,0.01,0.03,JP,2020-03-29,Japan
Osaka,-0.21,0.03,-0.08,-0.39,-0.07,0.06,JP,2020-03-29,Japan
Saga,-0.04,0.06,0.48,-0.19,0.0,0.03,JP,2020-03-29,Japan
Saitama,-0.51,-0.28,-0.61,-0.53,-0.2,0.12,JP,2020-03-29,Japan
Shiga,-0.06,0.07,-0.08,-0.25,-0.02,0.04,JP,2020-03-29,Japan
Shimane,0.01,0.06,0.45,0.04,0.05,0.01,JP,2020-03-29,Japan
Shizuoka,-0.17,-0.04,-0.47,-0.38,-0.06,0.07,JP,2020-03-29,Japan
Tochigi,-0.33,-0.16,-0.61,-0.46,-0.09,0.1,JP,2020-03-29,Japan
Tokushima,-0.04,0.03,0.27,-0.13,0.0,0.03,JP,2020-03-29,Japan
Tokyo,-0.63,-0.32,-0.66,-0.59,-0.27,0.14,JP,2020-03-29,Japan
Tottori,0.01,0.09,0.15,-0.13,0.02,0.02,JP,2020-03-29,Japan
Toyama,-0.06,0.07,-0.19,-0.26,0.0,0.04,JP,2020-03-29,Japan
Wakayama,-0.06,0.08,0.16,-0.21,-0.02,0.04,JP,2020-03-29,Japan
Yamagata,-0.03,0.06,-0.12,-0.27,-0.01,0.03,JP,2020-03-29,Japan
Yamaguchi,-0.04,0.09,0.49,-0.06,0.01,0.03,JP,2020-03-29,Japan
Yamanashi,-0.29,-0.13,-0.56,-0.51,-0.09,0.08,JP,2020-03-29,Japan
Alytus County,-0.71,-0.36,0.0,-0.7,-0.32,0.17,LT,2020-03-29,Lithuania
Kaunas County,-0.74,-0.4,-0.48,-0.68,-0.33,0.11,LT,2020-03-29,Lithuania
Klaipėda County,-0.73,-0.31,-0.43,-0.59,-0.36,0.11,LT,2020-03-29,Lithuania
Marijampolė County,-0.64,-0.39,-0.35,-0.41,-0.27,0.18,LT,2020-03-29,Lithuania
Panevėžys County,-0.7,-0.36,-0.32,-0.63,-0.26,0.07,LT,2020-03-29,Lithuania
Tauragė County,-0.6,-0.31,,-0.23,0.15,,LT,2020-03-29,Lithuania
Telšiai County,-0.67,-0.4,-0.18,-0.44,-0.24,0.17,LT,2020-03-29,Lithuania
Utena County,-0.63,-0.22,0.01,-0.35,-0.23,0.16,LT,2020-03-29,Lithuania
Vilnius County,-0.74,-0.41,-0.22,-0.67,-0.4,0.12,LT,2020-03-29,Lithuania
Šiauliai County,-0.73,-0.39,-0.41,-0.38,-0.3,0.07,LT,2020-03-29,Lithuania
Flacq District,-0.92,-0.89,-0.88,,0.08,,MU,2020-03-29,Mauritius
Grand Port District,-0.94,-0.9,-0.9,-0.94,-0.7,0.08,MU,2020-03-29,Mauritius
Moka District,-0.97,-0.76,,-0.65,0.08,,MU,2020-03-29,Mauritius
Pamplemousses District,-0.81,-0.82,-0.91,-0.81,-0.67,0.07,MU,2020-03-29,Mauritius
Plaines Wilhems District,-0.91,-0.88,,-0.71,0.37,,MU,2020-03-29,Mauritius
Port Louis District,-0.88,-0.89,-0.85,-0.87,-0.65,0.06,MU,2020-03-29,Mauritius
Rivière Noire District,-0.92,-0.88,-0.91,-0.82,-0.73,0.08,MU,2020-03-29,Mauritius
Rivière du Rempart District,-0.93,-0.93,-1.0,,0.08,,MU,2020-03-29,Mauritius
Rodrigues District,,,,,,,MU,2020-03-29,Mauritius
Savanne District,-0.91,-0.83,-0.28,,,,MU,2020-03-29,Mauritius
Drenthe,-0.61,-0.3,-0.27,-0.58,-0.29,0.09,NL,2020-03-29,Netherlands
Flevoland,-0.56,-0.25,-0.05,-0.63,-0.34,0.1,NL,2020-03-29,Netherlands
Friesland,-0.57,-0.28,-0.11,-0.51,-0.28,0.09,NL,2020-03-29,Netherlands
Gelderland,-0.66,-0.28,-0.29,-0.62,-0.33,0.1,NL,2020-03-29,Netherlands
Groningen,-0.65,-0.31,0.02,-0.63,-0.33,0.1,NL,2020-03-29,Netherlands
Limburg,-0.76,-0.34,-0.59,-0.65,-0.38,0.12,NL,2020-03-29,Netherlands
North Brabant,-0.68,-0.28,-0.33,-0.71,-0.34,0.12,NL,2020-03-29,Netherlands
North Holland,-0.66,-0.31,-0.35,-0.78,-0.4,0.12,NL,2020-03-29,Netherlands
Overijssel,-0.67,-0.29,-0.25,-0.66,-0.34,0.11,NL,2020-03-29,Netherlands
South Holland,-0.6,-0.26,-0.22,-0.64,-0.35,0.11,NL,2020-03-29,Netherlands
Utrecht,-0.6,-0.32,-0.17,-0.7,-0.36,0.11,NL,2020-03-29,Netherlands
Zeeland,-0.69,-0.4,-0.46,-0.57,-0.31,0.1,NL,2020-03-29,Netherlands
Auckland,-0.89,-0.55,-0.7,-0.83,-0.64,0.25,NZ,2020-03-29,New Zealand
Bay Of Plenty,-0.92,-0.51,-0.86,-0.83,-0.52,0.22,NZ,2020-03-29,New Zealand
Canterbury,-0.9,-0.56,-0.83,-0.9,-0.6,0.22,NZ,2020-03-29,New Zealand
Gisborne,-1.0,-0.48,-0.88,,,,NZ,2020-03-29,New Zealand
Hawke's Bay,-0.94,-0.53,-0.78,-0.84,-0.51,0.31,NZ,2020-03-29,New Zealand
Manawatu-Wanganui,-0.93,-0.5,-0.76,-0.84,-0.54,0.33,NZ,2020-03-29,New Zealand
Marlborough,-0.92,-0.6,-0.83,-0.91,-0.25,0.0,NZ,2020-03-29,New Zealand
Nelson,-1.0,-0.6,-0.81,,0.04,,NZ,2020-03-29,New Zealand
Northland,-0.93,-0.55,-0.86,-0.86,-0.52,0.32,NZ,2020-03-29,New Zealand
Otago,-0.95,-0.62,-0.82,-0.91,-0.64,0.39,NZ,2020-03-29,New Zealand
Southland,-0.96,-0.53,-0.83,,0.17,,NZ,2020-03-29,New Zealand
Taranaki,-0.95,-0.52,-0.86,,0.17,,NZ,2020-03-29,New Zealand
Tasman,-0.9,-0.67,-0.89,,,,NZ,2020-03-29,New Zealand
Waikato,-0.94,-0.55,-0.84,-0.82,-0.57,0.23,NZ,2020-03-29,New Zealand
Wellington,-0.93,-0.54,-0.63,-0.84,-0.62,0.2,NZ,2020-03-29,New Zealand
West Coast,-1.0,-0.61,-0.87,,,,NZ,2020-03-29,New Zealand
Agder,-0.59,-0.21,-0.01,-0.39,-0.31,0.09,NO,2020-03-29,Norway
Innlandet,-0.66,-0.37,-0.08,-0.54,-0.32,0.1,NO,2020-03-29,Norway
Møre og Romsdal,-0.73,-0.38,-0.4,-0.67,-0.29,0.1,NO,2020-03-29,Norway
Nordland,-0.61,-0.18,0.24,-0.71,-0.24,0.08,NO,2020-03-29,Norway
Oslo,-0.68,-0.26,-0.07,-0.64,-0.45,0.14,NO,2020-03-29,Norway
Rogaland,-0.61,-0.38,0.04,-0.58,-0.35,0.11,NO,2020-03-29,Norway
Troms Og Finnmark,-0.74,-0.46,-0.24,-0.71,-0.32,0.1,NO,2020-03-29,Norway
Trondelag,-0.74,-0.41,-0.15,-0.68,-0.37,0.13,NO,2020-03-29,Norway
Vestfold Og Telemark,-0.59,-0.23,0.13,-0.52,-0.3,0.1,NO,2020-03-29,Norway
Vestland,-0.71,-0.47,-0.31,-0.66,-0.36,0.12,NO,2020-03-29,Norway
Viken,-0.56,-0.21,0.24,-0.59,-0.33,0.11,NO,2020-03-29,Norway
Greater Poland Voivodeship,-0.8,-0.61,-0.62,-0.73,-0.37,0.13,PL,2020-03-29,Poland
Kuyavian-Pomeranian Voivodeship,-0.79,-0.63,-0.73,-0.78,-0.33,0.12,PL,2020-03-29,Poland
Lesser Poland Voivodeship,-0.84,-0.65,-0.69,-0.78,-0.41,0.14,PL,2020-03-29,Poland
Lower Silesian Voivodeship,-0.82,-0.65,-0.71,-0.77,-0.38,0.13,PL,2020-03-29,Poland
Lublin Voivodeship,-0.71,-0.44,-0.25,-0.71,-0.32,0.12,PL,2020-03-29,Poland
Lubusz Voivodeship,-0.77,-0.65,-0.55,-0.72,-0.37,0.12,PL,2020-03-29,Poland
Masovian Voivodeship,-0.77,-0.54,-0.6,-0.7,-0.35,0.13,PL,2020-03-29,Poland
Opole Voivodeship,-0.79,-0.62,-0.55,-0.72,-0.37,0.12,PL,2020-03-29,Poland
Podkarpackie Voivodeship,-0.71,-0.46,-0.11,-0.71,-0.36,0.13,PL,2020-03-29,Poland
Podlaskie Voivodeship,-0.75,-0.47,-0.17,-0.6,-0.32,0.11,PL,2020-03-29,Poland
Pomeranian Voivodeship,-0.82,-0.64,-0.78,-0.78,-0.38,0.14,PL,2020-03-29,Poland
Silesian Voivodeship,-0.77,-0.58,-0.5,-0.65,-0.35,0.13,PL,2020-03-29,Poland
Swietokrzyskie,-0.74,-0.44,-0.26,-0.67,-0.34,0.12,PL,2020-03-29,Poland
Warmian-Masurian Voivodeship,-0.77,-0.6,-0.63,-0.73,-0.35,0.11,PL,2020-03-29,Poland
West Pomeranian Voivodeship,-0.8,-0.66,-0.76,-0.69,-0.39,0.12,PL,2020-03-29,Poland
Łódź Voivodeship,-0.74,-0.55,-0.49,-0.66,-0.29,0.13,PL,2020-03-29,Poland
Aveiro District,-0.83,-0.61,-0.84,-0.83,-0.53,0.24,PT,2020-03-29,Portugal
Azores,-0.83,-0.56,-0.66,-0.87,-0.47,0.18,PT,2020-03-29,Portugal
Beja District,-0.83,-0.59,-0.6,,0.24,,PT,2020-03-29,Portugal
Braga,-0.83,-0.6,-0.82,-0.76,-0.52,0.24,PT,2020-03-29,Portugal
Bragança District,-0.85,-0.66,-0.57,-0.78,-0.52,0.18,PT,2020-03-29,Portugal
Castelo Branco District,-0.81,-0.61,-0.65,-0.76,-0.48,0.31,PT,2020-03-29,Portugal
Coimbra District,-0.83,-0.61,-0.8,-0.77,-0.48,0.23,PT,2020-03-29,Portugal
Faro District,-0.83,-0.6,-0.78,-0.82,-0.54,0.21,PT,2020-03-29,Portugal
Guarda District,-0.86,-0.64,-0.75,-0.68,-0.46,0.28,PT,2020-03-29,Portugal
Leiria District,-0.85,-0.62,-0.85,-0.81,-0.5,0.23,PT,2020-03-29,Portugal
Lisbon,-0.84,-0.58,-0.82,-0.79,-0.56,0.22,PT,2020-03-29,Portugal
Madeira,-0.89,-0.63,-0.86,-0.77,-0.6,0.27,PT,2020-03-29,Portugal
Portalegre District,-0.85,-0.63,-0.7,,0.24,,PT,2020-03-29,Portugal
Porto District,-0.84,-0.59,-0.82,-0.79,-0.54,0.23,PT,2020-03-29,Portugal
Santarém District,-0.83,-0.59,-0.77,-0.81,-0.46,0.2,PT,2020-03-29,Portugal
Setubal,-0.82,-0.56,-0.78,-0.74,-0.54,0.2,PT,2020-03-29,Portugal
Viana do Castelo District,-0.85,-0.68,-0.76,-0.76,-0.51,0.26,PT,2020-03-29,Portugal
Vila Real District,-0.86,-0.64,-0.71,-0.72,-0.52,0.33,PT,2020-03-29,Portugal
Viseu District,-0.82,-0.6,-0.65,-0.61,-0.48,0.22,PT,2020-03-29,Portugal
Évora District,-0.83,-0.59,-0.78,-0.77,-0.48,0.29,PT,2020-03-29,Portugal
Alba County,-0.83,-0.58,-0.49,-0.62,-0.45,0.12,RO,2020-03-29,Romania
Arad County,-0.81,-0.55,-0.45,-0.69,-0.38,0.15,RO,2020-03-29,Romania
Argeș County,-0.79,-0.54,-0.45,-0.73,-0.36,0.15,RO,2020-03-29,Romania
Bacău County,-0.8,-0.55,-0.47,-0.77,-0.38,0.15,RO,2020-03-29,Romania
Bihor County,-0.8,-0.59,-0.39,-0.64,-0.38,0.14,RO,2020-03-29,Romania
Bistrița-Năsăud County,-0.82,-0.64,-0.64,-0.64,-0.43,0.17,RO,2020-03-29,Romania
Botoșani County,-0.77,-0.51,-0.06,-0.67,-0.38,0.14,RO,2020-03-29,Romania
Brașov County,-0.85,-0.61,-0.79,-0.79,-0.43,0.17,RO,2020-03-29,Romania
Brăila County,-0.78,-0.47,-0.71,-0.7,-0.31,0.15,RO,2020-03-29,Romania
Bucharest,-0.85,-0.5,-0.86,-0.74,-0.45,0.18,RO,2020-03-29,Romania
Buzău County,-0.76,-0.56,-0.5,-0.59,-0.29,0.15,RO,2020-03-29,Romania
Caraș-Severin County,-0.77,-0.56,-0.53,-0.69,-0.41,0.19,RO,2020-03-29,Romania
Cluj County,-0.85,-0.62,-0.66,-0.77,-0.45,0.17,RO,2020-03-29,Romania
Constanța County,-0.8,-0.49,-0.72,-0.69,-0.37,0.16,RO,2020-03-29,Romania
Covasna County,-0.85,-0.61,-0.6,-0.61,-0.36,0.2,RO,2020-03-29,Romania
Călărași County,-0.65,-0.5,-0.53,-0.6,-0.24,0.14,RO,2020-03-29,Romania
Dolj County,-0.78,-0.53,-0.58,-0.67,-0.32,0.14,RO,2020-03-29,Romania
Dâmbovița County,-0.76,-0.52,-0.5,-0.61,-0.32,0.14,RO,2020-03-29,Romania
Galați,-0.8,-0.51,-0.66,-0.71,-0.38,0.16,RO,2020-03-29,Romania
Giurgiu County,-0.63,-0.38,-0.37,-0.45,-0.19,0.14,RO,2020-03-29,Romania
Gorj County,-0.73,-0.48,-0.5,-0.67,-0.36,0.15,RO,2020-03-29,Romania
Harghita County,-0.79,-0.65,-0.6,-0.6,-0.4,0.18,RO,2020-03-29,Romania
Hunedoara County,-0.82,-0.53,-0.66,-0.67,-0.44,0.14,RO,2020-03-29,Romania
Ialomița County,-0.62,-0.49,-0.47,-0.63,-0.28,0.17,RO,2020-03-29,Romania
Iași County,-0.82,-0.53,-0.57,-0.73,-0.39,0.17,RO,2020-03-29,Romania
Ilfov County,-0.78,-0.47,-0.61,-0.78,-0.39,0.16,RO,2020-03-29,Romania
Maramureș County,-0.81,-0.58,-0.44,-0.67,-0.44,0.13,RO,2020-03-29,Romania
Mehedinți County,-0.78,-0.48,-0.51,-0.64,-0.33,0.2,RO,2020-03-29,Romania
Mureș County,-0.81,-0.58,-0.61,-0.68,-0.37,0.14,RO,2020-03-29,Romania
Neamț County,-0.8,-0.55,-0.62,-0.79,-0.39,0.16,RO,2020-03-29,Romania
Olt County,-0.7,-0.46,-0.53,-0.66,-0.35,0.13,RO,2020-03-29,Romania
Prahova,-0.81,-0.56,-0.72,-0.73,-0.36,0.14,RO,2020-03-29,Romania
Satu Mare County,-0.82,-0.58,-0.39,-0.72,-0.4,0.13,RO,2020-03-29,Romania
Sibiu,-0.83,-0.63,-0.7,-0.73,-0.42,0.15,RO,2020-03-29,Romania
Suceava County,-0.85,-0.65,-0.49,-0.78,-0.48,0.17,RO,2020-03-29,Romania
Sălaj,-0.82,-0.5,-0.55,-0.64,-0.36,0.16,RO,2020-03-29,Romania
Teleorman County,-0.56,-0.47,-0.21,-0.55,-0.24,0.13,RO,2020-03-29,Romania
Timiș County,-0.83,-0.54,-0.71,-0.74,-0.42,0.16,RO,2020-03-29,Romania
Tulcea County,-0.79,-0.53,-0.6,-0.71,-0.33,0.16,RO,2020-03-29,Romania
Vaslui County,-0.76,-0.53,-0.28,-0.68,-0.37,0.13,RO,2020-03-29,Romania
Vrancea County,-0.81,-0.56,-0.36,-0.74,-0.37,0.17,RO,2020-03-29,Romania
Vâlcea County,-0.78,-0.52,-0.5,-0.66,-0.36,0.14,RO,2020-03-29,Romania
Banská Bystrica Region,-0.81,-0.88,0.05,-0.59,-0.36,0.09,SK,2020-03-29,Slovakia
Bratislava Region,-0.83,-0.91,-0.03,-0.64,-0.4,0.12,SK,2020-03-29,Slovakia
Košice Region,-0.81,-0.9,0.67,-0.6,-0.34,0.09,SK,2020-03-29,Slovakia
Nitra Region,-0.81,-0.9,0.29,-0.58,-0.36,0.09,SK,2020-03-29,Slovakia
Prešov Region,-0.82,-0.9,-0.55,-0.71,-0.41,0.1,SK,2020-03-29,Slovakia
Trenčín Region,-0.78,-0.88,0.03,-0.57,-0.4,0.09,SK,2020-03-29,Slovakia
Trnava Region,-0.81,-0.89,0.45,-0.62,-0.38,0.1,SK,2020-03-29,Slovakia
Žilina Region,-0.83,-0.88,-0.25,-0.68,-0.41,0.1,SK,2020-03-29,Slovakia
Administrative unit Maribor,-0.9,-0.95,-0.53,-0.69,-0.45,0.27,SI,2020-03-29,Slovenia
Ajdovščina,-0.86,-0.41,,-0.56,,,SI,2020-03-29,Slovenia
Brežice,-0.91,-0.55,,,,,SI,2020-03-29,Slovenia
Celje,-0.88,-0.94,-0.58,-0.52,-0.39,0.11,SI,2020-03-29,Slovenia
Cerknica,-0.83,,,,,,SI,2020-03-29,Slovenia
Domžale,-0.89,-0.89,,-0.39,0.22,,SI,2020-03-29,Slovenia
Dravograd,-0.7,,,,,,SI,2020-03-29,Slovenia
Gornja Radgona,-0.88,-0.33,,,,,SI,2020-03-29,Slovenia
Grosuplje,-0.9,-0.43,,0.02,,,SI,2020-03-29,Slovenia
Idrija,-0.66,-0.45,,,,,SI,2020-03-29,Slovenia
Ilirska Bistrica,-0.8,,,,,,SI,2020-03-29,Slovenia
Izola,-0.84,-0.33,,,,,SI,2020-03-29,Slovenia
Jesenice,-0.9,-0.53,-0.67,-0.61,-0.53,,SI,2020-03-29,Slovenia
Kamnik,-0.95,-0.47,,0.02,,,SI,2020-03-29,Slovenia
Koper,-0.92,-0.85,-0.63,-0.73,-0.47,0.13,SI,2020-03-29,Slovenia
Kočevje,-0.73,-0.51,,,,,SI,2020-03-29,Slovenia
Kranj,-0.9,-0.91,,-0.52,0.3,,SI,2020-03-29,Slovenia
Krško,-0.71,-0.54,,,,,SI,2020-03-29,Slovenia
Laško,-0.8,-0.51,,,,,SI,2020-03-29,Slovenia
Lenart,-0.89,-0.41,,,,,SI,2020-03-29,Slovenia
Lendava,-0.78,-0.55,,,,,SI,2020-03-29,Slovenia
Litija,-0.77,-0.35,,,,,SI,2020-03-29,Slovenia
Ljubljana,-0.87,-0.91,-0.51,-0.58,-0.44,0.15,SI,2020-03-29,Slovenia
Ljutomer,-0.88,-0.48,,,,,SI,2020-03-29,Slovenia
Logatec,-0.88,-0.47,,-0.53,,,SI,2020-03-29,Slovenia
Metlika,,,,,,,SI,2020-03-29,Slovenia
Mozirje,-0.8,-0.45,,,,,SI,2020-03-29,Slovenia
Municipality of Hrastnik,,,,,,,SI,2020-03-29,Slovenia
Murska Sobota,-0.9,-0.39,,-0.5,0.01,,SI,2020-03-29,Slovenia
Nova Gorica,-0.89,-0.49,,-0.52,0.02,,SI,2020-03-29,Slovenia
Novo Mesto,-0.9,-0.45,,0.19,,,SI,2020-03-29,Slovenia
Ormož,-0.61,-0.5,,,,,SI,2020-03-29,Slovenia
Pesnica,-0.83,,,,,,SI,2020-03-29,Slovenia
Piran,-0.9,-0.81,-0.53,,,,SI,2020-03-29,Slovenia
Postojna,-0.73,-0.46,,-0.51,,,SI,2020-03-29,Slovenia
Ptuj,-0.95,-0.92,,-0.37,0.18,,SI,2020-03-29,Slovenia
Radlje ob Dravi,-0.81,-0.45,,,,,SI,2020-03-29,Slovenia
Radovljica,-0.94,-0.5,-0.62,-0.61,-0.61,,SI,2020-03-29,Slovenia
Ravne na Koroškem,-0.76,-0.41,,,,,SI,2020-03-29,Slovenia
Ribnica,,,,,,,SI,2020-03-29,Slovenia
Ruše,-0.78,,,,,,SI,2020-03-29,Slovenia
Sevnica,-0.85,-0.4,,,,,SI,2020-03-29,Slovenia
Sežana,-0.95,-0.57,,,,,SI,2020-03-29,Slovenia
Slovenj Gradec,-0.86,-0.57,,,,,SI,2020-03-29,Slovenia
Slovenska Bistrica,-1.0,-0.49,,,,,SI,2020-03-29,Slovenia
Slovenske Konjice,-0.91,-0.36,,,,,SI,2020-03-29,Slovenia
Tolmin,-0.68,-0.49,,,,,SI,2020-03-29,Slovenia
Trbovlje,-0.86,-0.41,,,,,SI,2020-03-29,Slovenia
Trebnje,-0.92,-0.49,,,,,SI,2020-03-29,Slovenia
Tržič,-0.84,-0.44,,,,,SI,2020-03-29,Slovenia
Velenje,-0.93,-0.58,,-0.47,0.0,,SI,2020-03-29,Slovenia
Vrhnika,-0.88,-0.42,,,,,SI,2020-03-29,Slovenia
Zagorje ob Savi,-0.76,-0.45,,,,,SI,2020-03-29,Slovenia
Črnomelj,-0.7,-0.47,,,,,SI,2020-03-29,Slovenia
Šentjur,-0.74,-0.44,,,,,SI,2020-03-29,Slovenia
Škofja Loka,-0.9,-0.43,,-0.64,0.01,,SI,2020-03-29,Slovenia
Šmarje pri Jelšah,-0.82,-0.6,0.02,,,,SI,2020-03-29,Slovenia
Žalec,-1.0,-0.42,,0.0,,,SI,2020-03-29,Slovenia
Andalusia,-0.94,-0.81,-0.88,-0.9,-0.65,0.21,ES,2020-03-29,Spain
Aragon,-0.92,-0.75,-0.87,-0.9,-0.64,0.2,ES,2020-03-29,Spain
Asturias,-0.94,-0.78,-0.88,-0.8,-0.63,0.23,ES,2020-03-29,Spain
Balearic Islands,-0.92,-0.68,-0.9,-0.88,-0.61,0.22,ES,2020-03-29,Spain
Basque Country,-0.94,-0.77,-0.93,-0.88,-0.63,0.22,ES,2020-03-29,Spain
Canary Islands,-0.94,-0.75,-0.92,-0.87,-0.66,0.2,ES,2020-03-29,Spain
Cantabria,-0.94,-0.76,-0.92,-0.89,-0.61,0.23,ES,2020-03-29,Spain
Castile and León,-0.94,-0.78,-0.84,-0.89,-0.62,0.22,ES,2020-03-29,Spain
Castile-La Mancha,-0.93,-0.77,-0.84,-0.89,-0.63,0.21,ES,2020-03-29,Spain
Catalonia,-0.94,-0.75,-0.9,-0.88,-0.64,0.21,ES,2020-03-29,Spain
Ceuta,-0.89,-0.78,-0.91,,0.04,,ES,2020-03-29,Spain
Community of Madrid,-0.94,-0.72,-0.92,-0.89,-0.65,0.22,ES,2020-03-29,Spain
Extremadura,-0.93,-0.75,-0.79,-0.87,-0.6,0.22,ES,2020-03-29,Spain
Galicia,-0.92,-0.77,-0.84,-0.88,-0.59,0.24,ES,2020-03-29,Spain
La Rioja,-0.94,-0.75,-0.9,-0.9,-0.65,0.23,ES,2020-03-29,Spain
Melilla,-0.92,-0.86,-0.9,-0.87,-0.59,-0.02,ES,2020-03-29,Spain
Navarre,-0.93,-0.77,-0.88,-0.9,-0.61,0.23,ES,2020-03-29,Spain
Region of Murcia,-0.94,-0.85,-0.9,-0.86,-0.63,0.24,ES,2020-03-29,Spain
Valencian Community,-0.95,-0.84,-0.92,-0.9,-0.66,0.22,ES,2020-03-29,Spain
Blekinge County,-0.06,-0.05,0.26,-0.23,-0.18,0.09,SE,2020-03-29,Sweden
Dalarna County,-0.34,-0.15,0.01,-0.3,-0.17,0.05,SE,2020-03-29,Sweden
Gavleborg County,-0.27,-0.1,0.1,-0.27,-0.14,0.05,SE,2020-03-29,Sweden
Gotland County,-0.12,-0.06,,-0.1,0.07,,SE,2020-03-29,Sweden
Halland County,-0.13,-0.07,0.74,-0.25,-0.14,0.05,SE,2020-03-29,Sweden
Jamtland County,-0.41,-0.25,0.03,-0.46,-0.16,0.08,SE,2020-03-29,Sweden
Jonkoping County,-0.24,-0.07,0.3,-0.29,-0.23,0.06,SE,2020-03-29,Sweden
Kalmar County,-0.11,-0.05,0.21,-0.27,-0.13,0.05,SE,2020-03-29,Sweden
Kronoberg County,-0.19,-0.06,-0.51,-0.35,-0.17,0.08,SE,2020-03-29,Sweden
Norrbotten County,-0.3,-0.14,0.6,-0.38,-0.15,0.02,SE,2020-03-29,Sweden
Skåne County,-0.23,-0.08,0.23,-0.43,-0.16,0.06,SE,2020-03-29,Sweden
Stockholm County,-0.31,-0.14,0.24,-0.45,-0.21,0.07,SE,2020-03-29,Sweden
Södermanland County,-0.18,-0.07,0.46,-0.41,-0.19,0.05,SE,2020-03-29,Sweden
Uppsala County,-0.27,-0.09,0.35,-0.36,-0.18,0.07,SE,2020-03-29,Sweden
Varmland County,-0.28,-0.11,0.0,-0.25,-0.13,0.05,SE,2020-03-29,Sweden
Västerbotten County,-0.27,-0.1,0.34,-0.32,-0.18,0.03,SE,2020-03-29,Sweden
Västernorrland County,-0.26,-0.09,-0.14,-0.26,-0.17,0.04,SE,2020-03-29,Sweden
Västmanland County,-0.18,-0.07,-0.25,-0.32,-0.17,0.05,SE,2020-03-29,Sweden
Västra Götaland County,-0.24,-0.09,0.38,-0.34,-0.18,0.06,SE,2020-03-29,Sweden
Örebro County,-0.18,-0.07,0.59,-0.28,-0.18,0.05,SE,2020-03-29,Sweden
Östergötland County,-0.18,-0.12,0.6,-0.33,-0.17,0.05,SE,2020-03-29,Sweden
Aargau,-0.75,-0.35,-0.14,-0.56,-0.41,0.13,CH,2020-03-29,Switzerland
Appenzell Ausserrhoden,-0.77,0.03,,-0.29,,,CH,2020-03-29,Switzerland
Appenzell Innerrhoden,-0.57,,,,,,CH,2020-03-29,Switzerland
Basel City,-0.89,-0.41,-0.65,-0.76,-0.48,0.25,CH,2020-03-29,Switzerland
Basel-Landschaft,-0.77,-0.21,-0.25,-0.61,-0.4,0.23,CH,2020-03-29,Switzerland
Canton of Bern,-0.8,-0.53,-0.36,-0.68,-0.43,0.14,CH,2020-03-29,Switzerland
Canton of Zug,-0.75,-0.02,,-0.45,0.27,,CH,2020-03-29,Switzerland
Fribourg,-0.82,-0.44,-0.41,-0.62,-0.42,0.2,CH,2020-03-29,Switzerland
Geneva,-0.82,-0.6,-0.4,-0.84,-0.54,0.21,CH,2020-03-29,Switzerland
Glarus,-0.92,-0.19,,-0.33,,,CH,2020-03-29,Switzerland
Grisons,-0.89,-0.78,-0.59,-0.78,-0.57,0.2,CH,2020-03-29,Switzerland
Jura,-0.91,-0.32,,-0.43,0.14,,CH,2020-03-29,Switzerland
Lucerne,-0.82,-0.38,-0.5,-0.66,-0.4,0.16,CH,2020-03-29,Switzerland
Neuchâtel,-0.78,-0.48,-0.18,-0.58,-0.46,0.28,CH,2020-03-29,Switzerland
Nidwalden,-0.74,-0.02,-0.73,-0.78,-0.46,,CH,2020-03-29,Switzerland
Obwalden,-0.63,-0.16,-0.49,-0.79,-0.4,,CH,2020-03-29,Switzerland
Schaffhausen,-0.9,-0.5,,-0.41,0.02,,CH,2020-03-29,Switzerland
Schwyz,-0.72,-0.55,-0.45,-0.66,-0.44,0.23,CH,2020-03-29,Switzerland
Solothurn,-0.77,-0.35,-0.13,-0.63,-0.38,0.15,CH,2020-03-29,Switzerland
St. Gallen,-0.8,-0.44,-0.29,-0.58,-0.42,0.14,CH,2020-03-29,Switzerland
Thurgau,-0.79,-0.3,-0.44,-0.61,-0.4,0.15,CH,2020-03-29,Switzerland
Ticino,-0.85,-0.69,-0.51,-0.64,-0.49,0.21,CH,2020-03-29,Switzerland
Uri,-0.89,-0.13,,-0.44,,,CH,2020-03-29,Switzerland
Valais,-0.87,-0.67,-0.61,-0.75,-0.57,0.17,CH,2020-03-29,Switzerland
Vaud,-0.79,-0.49,-0.42,-0.68,-0.5,0.17,CH,2020-03-29,Switzerland
Zurich,-0.82,-0.44,-0.53,-0.73,-0.47,0.16,CH,2020-03-29,Switzerland
Alabama,-0.41,-0.13,0.19,-0.3,-0.32,0.09,US,2020-03-29,US
Alaska,-0.48,-0.27,0.18,-0.55,-0.33,0.1,US,2020-03-29,US
